park_name,SDI,SDI_pred,residual
"Gettysburg National Military Park, US, PA",6.95454630341065,6.241735292222677,0.7128110111879726
"Gulf Islands National Seashore, US, FL",6.981337364763734,6.284941854206659,0.6963955105570747
"Richmond National Battlefield Park, US, VA",7.010540042749032,6.319294122787335,0.6912459199616965
"San Antonio Missions National Historical Park, US, TX",6.741311455750235,6.06737872302549,0.6739327327247455
"Prince William Forest Park, US, VA",6.930197753944512,6.265769556843817,0.6644281971006949
"Wright Brothers National Memorial, US, NC",5.366585589547257,6.019801388420184,-0.6532157988729272
"Acadia National Park, US, ME",7.061505950245023,6.412446293290684,0.6490596569543383
"Fort Laramie National Historic Site, US, WY",5.38959196889126,6.0363856659381945,-0.6467936970469346
"Grand Teton National Park, US, WY",6.754575037983092,6.133055809875004,0.6215192281080881
"Hot Springs National Park, US, AR",6.67682401057041,6.061117668781085,0.6157063417893252
"Haleakala National Park, US, HI",5.388370273120234,5.99269694891404,-0.6043266757938062
"Fort Vancouver National Historic Site, US, WA",5.499796482025122,6.102433949141985,-0.6026374671168631
"Everglades National Park, US, FL",6.763445822639996,6.163093424693483,0.6003523979465131
"Upper Delaware Scenic and Recreational River, US, NY",6.978185483815329,6.38874794700215,0.589437536813179
"Carlsbad Caverns National Park, US, NM",6.56914909939741,5.996243518181782,0.5729055812156281
"Natural Bridges National Monument, US, UT",5.419088101950274,5.989276691231002,-0.5701885892807272
"Death Valley National Park, US, CA",6.3591334610661665,5.799569718013227,0.5595637430529399
"Organ Pipe Cactus National Monument, US, AZ",6.456942810169438,5.898517792274471,0.558425017894967
"Great Basin National Park, US, NV",6.59965875241265,6.043308312383675,0.5563504400289752
"Moores Creek National Battlefield, US, NC",5.657770207850454,6.210335071011099,-0.5525648631606446
"Zion National Park, US, UT",6.500940697853703,5.951842946645453,0.54909775120825
"Nez Perce National Historical Park, US, ID",5.639822396497958,6.186271260175836,-0.5464488636778784
"Canyon de Chelly National Monument, US, AZ",5.44576623515422,5.990482970146011,-0.5447167349917903
"Colonial National Historical Park, US, VA",6.840632384048682,6.304165955947376,0.5364664281013063
